
Subject,Module,Subtopic,DotPoint,Stage,SourceURL,SourceVersionDate,Topic
Mathematics Standard,Algebra,MS‑A1 Formulae and Equations,review substitution of numerical values into linear and non‑linear algebraic expressions and equations,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Algebra,MS‑A1 Formulae and Equations,"change the subject of a linear formula and solve problems involving formulae, including calculating distance, speed and time or stopping distances using a suitable formula",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Algebra,MS‑A1 Formulae and Equations,develop and solve linear equations derived from substituting values into a formula or from a word description,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Algebra,MS‑A1 Formulae and Equations,calculate and interpret blood alcohol content (BAC) using appropriate formulae; determine time required to reach zero BAC and describe limitations of BAC estimation methods,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Algebra,MS‑A1 Formulae and Equations,"calculate required medication dosages for children and adults using Fried’s, Young’s and Clark’s formulae",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Algebra,MS‑A2 Linear Relationships,"model, analyse and solve problems involving linear relationships, construct straight‑line graphs and interpret gradient and intercepts; recognise direct variation relationships and interpret the linear function y = mx + b",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Algebra,MS‑A2 Linear Relationships,"construct and analyse linear models graphically or algebraically to solve practical direct‑variation problems, such as fuel‑cost or currency‑conversion graphs, and evaluate model limitations",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Measurement,MS‑M1 Applications of Measurement,"review use of metric units (including units of area) and convert between units (e.g., kilometres to metres or litres to millilitres); calculate absolute and percentage error and state limits of accuracy",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Measurement,MS‑M1 Applications of Measurement,"use standard form and metric prefixes in measurement contexts; review solving perimeter and area problems for triangles, rectangles, parallelograms, trapezia, circles, sectors and composite shapes; apply Pythagoras’ theorem and scale factors to find lengths",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Measurement,MS‑M1 Applications of Measurement,"solve problems involving surface area and volume of prisms, cylinders, spheres, pyramids and composite solids; convert between units of volume and capacity and use the Trapezoidal rule to estimate areas and volumes",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Measurement,MS‑M1 Applications of Measurement,"review metric units of mass (grams, kilograms, tonnes) and energy (calories, kilojoules) and use them to solve problems related to food, nutrition, physical activity and electricity consumption",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Measurement,MS‑M2 Working with Time,"locate positions on Earth using latitude, longitude and GPS; calculate times and time differences around the world, convert between 12‑hour and 24‑hour clocks, and solve problems involving time zones and daylight saving",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Measurement,MS‑M2 Working with Time,"interpret timetables for buses, trains and ferries; solve practical problems involving travel and communications across different time zones, including Coordinated Universal Time and the International Date Line",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Financial Mathematics,MS‑F1 Money Matters,"calculate simple interest for different rates and periods and apply percentage increase or decrease to contexts such as GST, profit or loss; graph simple interest using technology",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Financial Mathematics,MS‑F1 Money Matters,calculate depreciation of an asset using the straight‑line method (Vt = V0 − Dn) and use spreadsheets to calculate and graph compound interest as a recurrence relation,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Financial Mathematics,MS‑F1 Money Matters,"calculate pay rates from a given salary, including hourly rates, penalty rates, overtime, commissions, piecework and royalties; calculate annual leave loading and government allowances",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Financial Mathematics,MS‑F1 Money Matters,"calculate income tax and related deductions: identify allowable deductions, determine taxable income, calculate Medicare levy, net pay and Pay As You Go tax using current tax scales",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Financial Mathematics,MS‑F1 Money Matters,"interpret household bills for electricity, water or gas; plan the purchase of a car by comparing on‑road costs, considering sustainability and using spreadsheets to compare options",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Financial Mathematics,MS‑F1 Money Matters,"plan for running and maintenance of a car: describe types of insurance, investigate running costs (servicing, repairs, tyres) and compare costs using spreadsheets",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Financial Mathematics,MS‑F1 Money Matters,"prepare a personal budget for a given income, accounting for fixed and discretionary spending",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S1 Data Analysis,"describe and use appropriate data collection methods for populations and samples; investigate sampling methods (systematic, self‑selected, simple random, stratified) and discuss advantages and disadvantages",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S1 Data Analysis,"classify data types: categorical variables as ordinal or nominal and numerical variables as discrete or continuous; organise and display data using tables, bar/Pareto charts, histograms, cumulative frequency graphs, dot plots and stem‑and‑leaf plots",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S1 Data Analysis,"construct and interpret tables and graphs in real‑world contexts (e.g., motor‑vehicle safety, blood‑alcohol content, running costs, rainfall, temperature, water usage); interpret and compare data by choosing appropriate representations and evaluating their suitability",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S1 Data Analysis,"describe distinguishing features of a population and a sample; define symbols for population parameters (µ, σ) and sample statistics (x̄, s); summarise and interpret data using measures of central tendency (mode, mean, median) and measures of spread (range, quantiles, IQR, standard deviation)",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S1 Data Analysis,"investigate the effects of outliers on summary statistics and use criteria such as 1.5×IQR to identify outliers; interpret and compare distributions (modality, shape, central tendency, spread, outliers) and construct/interpret parallel box‑plots to compare groups",Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S2 Relative Frequency and Probability,review and use the language of probability and relative frequency; construct sample spaces and determine the number of outcomes; understand probability scale 0 ≤ P(E) ≤ 1 and calculate probabilities of simple events and their complements,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S2 Relative Frequency and Probability,use arrays and tree diagrams to determine outcomes and probabilities for multistage experiments; construct and use tree diagrams to solve two‑stage event problems,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S2 Relative Frequency and Probability,perform simulations of experiments using technology; use relative frequency as an estimate of probability; recognise that increasing trials yields relative frequencies approaching theoretical probability and identify factors complicating simulation,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Standard,Statistical Analysis,MS‑S2 Relative Frequency and Probability,solve probability problems and calculate expected frequencies in contexts by using known probabilities or estimates based on relative frequencies,Year 11,https://c.educationstandards.nsw.edu.au/wps/wcm/connect/b828bedf-5193-441f-aa3b-acb726ea2322/mathematics-standard-year-11-content-prior-to-maintenance-detailed-in-official-notice-nesa-48-19.pdf,2017,
Mathematics Advanced,,,"application of knowledge, understanding, skills, values and attitudes in the fields of study they",,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,,,"capacity to manage their own learning and to become flexible, independent thinkers, problemsolvers and decision-makers",,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,,,capacity to work collaboratively with others,,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,,,respect for the cultural diversity of Australian society,,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,,,desire to continue learning in formal or informal settings after school,,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,,,"further academic study, vocational training and employment",,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,,,"changing workplaces, including an increasingly STEM-focused (Science, Technology,",,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,,,full and active participation as global citizens,,Maths Advanced Syllabus.pdf,2019,
Mathematics Advanced,Functions,Working with Functions,"define a relation as any set of ordered pairs (𝑥, 𝑦) of real numbers",,Maths Advanced Syllabus.pdf,2019,Functions
